num_sujeto,actividad,media_a,sd_a,rms_a,maximo_a,minimo_a,rango_a,energia_a,f_dom_a,energia_f_dom_a,ppm_ecg
9,sit,9.7812961977056,0.012540240586906462,9.781304233179034,9.833070364751224,9.735277258398579,0.09779310635264515,239280.45516751724,43.38264694122351,60.48295086397327,58.13953488372093
9,sit,9.781579940840478,0.012949708293237529,9.78158850938571,9.839067220586903,9.725021987890479,0.11404523269642475,239294.36389113334,43.38264694122351,75.21645737473753,48.78048780487805
9,sit,9.780709653857503,0.01343635649330179,9.780718879333552,9.829014055502032,9.726383552364743,0.10263050313728961,239251.816953176,43.38264694122351,84.71659739854087,51.81347150259068
9,sit,9.780228904961419,0.01243404902225659,9.780236805783407,9.828218936419836,9.717123329541286,0.1110956068785498,239228.23297497822,43.58256697321072,100.44346149696072,50.76142131979696
9,sit,9.782287605438492,0.014755145567804615,9.782298728968838,9.849437355008185,9.689302529982927,0.1601348250252581,239329.11442538616,43.58256697321072,88.81082358157916,54.84460694698354
9,sit,9.782829671496428,0.012428186820736879,9.782837562771823,9.840560698594162,9.737653937657626,0.10290676093653595,239355.48085972792,43.78248700519792,86.82142220987487,55.248618784530386
9,sit,9.783226332870512,0.013097256377941405,9.783235096311845,9.83739293530634,9.7355572883974,0.10183564690894009,239374.9340632193,43.78248700519792,80.4514456754568,60.24096385542169
9,sit,9.782541989805832,0.012109468590202972,9.782549481751245,9.836203040464948,9.72888770486113,0.10731533560381834,239341.38418164174,43.58256697321072,71.80489397298282,62.11180124223603
9,sit,9.78162872132566,0.012928136836012984,9.781637261305347,9.841829920353199,9.718473907048454,0.1233560133047451,239296.7492069047,43.58256697321072,74.15057824656974,59.7609561752988
9,sit,9.781350969099421,0.015476034788604001,9.78136320727281,9.84940067865179,9.71640740636974,0.13299327228205016,239283.34054766817,43.78248700519792,81.84114744637549,60.24096385542169
9,sit,9.780850357742336,0.01310253788889502,9.780859130383403,9.84420358068873,9.715112340219727,0.1290912404690019,239258.67852633938,43.58256697321072,89.24499986403654,56.81818181818181
9,sit,9.781330358314044,0.012948612723729049,9.781338925628106,9.832042088956449,9.728483717248329,0.10355837170811988,239282.15253619698,43.58256697321072,90.7138503220459,54.84460694698354
9,sit,9.783287528544866,0.013117784479956304,9.783296319423641,9.843233710173108,9.729608108820793,0.11362560135231448,239377.93007099404,43.78248700519792,73.99893461553371,56.497175141242934
9,sit,9.782572150081318,0.014313411377801556,9.782582617252725,9.84376547945419,9.723650896943305,0.12011458251088492,239343.0055811013,43.78248700519792,73.54991632141078,55.147058823529406
9,sit,9.783336509930619,0.01344247166523277,9.783345741326675,9.83850317734204,9.726274232238906,0.1122289451031353,239380.34858973132,43.78248700519792,87.73458778702171,52.91005291005291
9,sit,9.785654677120174,0.014164429436151305,9.78566492430049,9.837514387892426,9.726660709058724,0.11085367883370267,239493.8542647229,43.58256697321072,85.0789871011941,63.69426751592357
9,sit,9.784302951286582,0.016110660148862817,9.78431620973821,9.854965741471188,9.703757099795826,0.1512086416753622,239427.84207405688,43.58256697321072,59.05517181465968,60.60606060606061
9,sit,9.784926012679437,0.012008344278797453,9.784933378224192,9.833112647527392,9.730912428648242,0.10220021887914932,239458.0479619311,43.58256697321072,84.80326321889233,61.7283950617284
9,sit,9.786259063134045,0.011489277617787617,9.786265804763998,9.832120216431838,9.73492597228754,0.09719424414429767,239523.26700213435,43.58256697321072,81.31054509187062,57.25190839694656
9,sit,9.785944389051073,0.012761652833040376,9.785952706827544,9.838055944249794,9.723924208267519,0.11413173598227466,239507.94082104362,43.58256697321072,88.83248303454037,53.475935828877
9,sit,9.786364882365651,0.011483802892065312,9.786371617499436,9.832896525561026,9.735196199998173,0.0977003255628528,239528.44665893214,43.58256697321072,44.946002518916096,61.98347107438017
9,sit,9.785974388127308,0.0138043303622073,9.785984120589356,9.853121749485366,9.716983335932424,0.13613841355294198,239509.47850627603,43.58256697321072,92.72612749039507,75.56675062972292
9,sit,9.785776657189878,0.011756943353967318,9.785783716946291,9.828325590798592,9.741601791621932,0.08672379917666007,239499.6689500828,43.58256697321072,90.5025639218571,54.74452554744525
9,sit,9.786418553618807,0.013945217745805835,9.786428485303299,9.84269157523233,9.737678315155176,0.10501326007715406,239531.23042738755,43.58256697321072,73.64325261123953,59.523809523809526
9,sit,9.785077673828976,0.015919394317124476,9.785090618315776,9.845640078964442,9.705692657868088,0.1399474210963536,239465.74402003718,43.58256697321072,84.30675131954935,77.31958762886597
9,sit,9.783936923673767,0.01663510585498767,9.783951059900454,9.985254525023075,9.661001204276923,0.324253320746152,239409.97155466062,10.995601759296282,41.302241161548636,79.7872340425532
9,sit,9.784091213329043,0.013249815623862736,9.784100181322842,9.833712656055674,9.731907742237603,0.10180491381807144,239417.2695117623,43.38264694122351,60.72766871721068,58.708414872798436
9,sit,9.786410482750776,0.011629513703667216,9.78641738985246,9.82900845513596,9.733779672878834,0.09522878225712716,239530.68728634494,43.58256697321072,43.91827302070007,56.71077504725898
9,sit,9.786724105856933,0.011058696530825553,9.78673035134982,9.828070250566656,9.727989920072623,0.10008033049403231,239546.00751604952,43.38264694122351,59.0520761221524,58.47953216374269
9,sit,9.786823591481866,0.013543381570790648,9.78683295865575,9.862040387857025,9.718308468230578,0.14373191962644682,239551.03050093682,10.795681727309077,93.40208823916605,54.54545454545454
9,sit,9.785907572528982,0.012222609833681737,9.7859152025009,9.84578436130161,9.723764139676833,0.12202022162477633,239506.10501269612,43.38264694122351,46.58113171628348,60.24096385542169
9,sit,9.785859381759778,0.012705129945934934,9.785867626090212,9.840755795953795,9.735145070642545,0.10561072531124971,239503.77619359654,43.38264694122351,51.279250819606965,59.642147117296226
9,sit,9.7854700424847,0.0116245157648254,9.785476944314064,9.85044968663842,9.72336650188093,0.12708318475749003,239484.65312828304,43.58256697321072,43.78992168562414,61.601642710472284
9,sit,9.785152655180157,0.011608981399666395,9.785159538798672,9.835281467856461,9.735362980008535,0.09991848784792623,239469.11734655633,43.58256697321072,76.13197855168741,55.762081784386616
9,sit,9.784426114843761,0.012796919019425345,9.784434479953081,9.835836573730322,9.731528354277803,0.10430821945251978,239433.63038932928,43.58256697321072,60.67675552849757,62.37006237006237
9,sit,9.784765920725066,0.014694245316839945,9.784776949828458,9.844880265762049,9.717803184356281,0.12707708140576734,239450.39175469364,43.78248700519792,62.571386347615935,60.0
9,sit,9.784145897665292,0.02523241918045525,9.784178420654955,9.926208195634256,9.672461404048596,0.2537467915856606,239421.0985653925,10.795681727309077,137.87813213587867,68.4931506849315
9,sit,9.7820073688591,0.025162794913457784,9.782039719685068,9.893603017615808,9.665315548454345,0.22828746916146336,239316.44099481835,9.196321471411435,120.95634755216903,74.44168734491315
9,sit,9.78235928068752,0.018499818032124134,9.782376766557194,9.879917430807216,9.694259175544012,0.18565825526320445,239332.93290239782,12.794882047181128,61.91588064344331,77.31958762886597
9,sit,9.780691615249266,0.017036890909742215,9.780706447501801,9.886416716603216,9.69936167940645,0.18705503719676564,239251.20874912047,43.58256697321072,50.36643090481919,83.33333333333334
9,sit,9.778721248813678,0.01839358181233161,9.778738540863877,9.854542308169783,9.696400245314775,0.1581420628550081,239154.94235389208,9.596161535385846,65.7834108069387,81.74386920980926
9,sit,9.778473658292391,0.0183948269332688,9.778490953121668,9.863544283772807,9.699938884491761,0.163605399281046,239142.83218602612,8.19672131147541,96.81057918474438,65.359477124183
9,sit,9.777361389217758,0.01928852370124669,9.777380407540326,9.849265584295168,9.684741595291253,0.1645239890039143,239088.51625201735,7.996801279488205,104.67024846052846,68.4931506849315
9,sit,9.775532837970857,0.01894742392516595,9.775551193031287,9.841325495330908,9.687388657663496,0.15393683766741262,238999.06422006612,13.194722111155539,55.50289034356094,80.0
9,sit,9.777085025956584,0.020608553444414687,9.77710673703844,9.937972213265043,9.676161877038865,0.2618103362261781,239075.1321847536,12.794882047181128,83.69531913634627,75.94936708860759
9,sit,9.777596657899656,0.016385074909676545,9.77761038126929,9.851992096937119,9.689530366301542,0.16246173063557734,239099.76358453033,43.58256697321072,63.52334594220158,82.19178082191782
9,sit,9.779066282448275,0.01727437436206526,9.779081533621264,9.85493369494301,9.699145594112464,0.15578810083054684,239171.71953867225,11.195521791283486,65.65712284457116,72.81553398058253
9,sit,9.780651533826177,0.015675162872237004,9.780664089857211,9.855089796641266,9.716809153825348,0.1382806428159178,239249.13648659462,43.58256697321072,52.70487378110295,75.94936708860759
9,sit,9.777333330780532,0.038246726195491014,9.777408106874018,10.076135430443996,9.386626706930628,0.6895087235133683,239089.87093020277,9.996001599360255,257.3115695829159,72.28915662650603
9,sit,9.776190934544303,0.0343682666313429,9.776251321142233,10.096028163183318,9.461059277014432,0.6349688861688865,239033.2998252323,9.79608156737305,159.89837298798747,63.29113924050633
9,sit,9.77656881928663,0.013443552371538438,9.776578058558382,9.836574671579648,9.723794104098124,0.11278056748152387,239049.27781624807,43.58256697321072,77.6537446330818,80.64516129032258
9,sit,9.776187028612085,0.014184546882951543,9.776197314872748,9.843307608424471,9.714983188090955,0.12832442033351654,239030.65888225214,43.58256697321072,69.77450358305869,82.87292817679558
